# annotations CSV — auto-generated by tests/tools/gen_annotations_csv.py
# Format: addr_hex,name,notes
# notes column collects aliasing labels at the same address.
00EB54,LevEvents_HTZ_Routine3_Part2,
00EB78,ScrollBG,
00EBEA,LevEvents_HTZ2,
00EC0E,LevEvents_HTZ2_Routine1,
00EC6C,LevEvents_HTZ2_Routine1_Part2,
00EC90,LevEvents_HTZ2_Routine2,
00ED22,LevEvents_HTZ2_Routine2_Continue,
00ED96,LevEvents_HTZ2_Routine3,
00EDD6,LevEvents_HTZ2_Routine3_Part2,
00EDFA,LevEvents_HTZ2_Routine4,
00EE84,LevEvents_HTZ2_Routine4_Continue,
00EEF8,LevEvents_HTZ2_Routine5,
00EF40,LevEvents_HTZ2_Routine5_Part2,
00EF66,LevEvents_HTZ2_Prepare,
00EF84,LevEvents_HTZ2_Routine6,
00EFAA,LevEvents_HTZ2_Routine7,
00EFE8,LevEvents_HTZ2_Routine8,
00F020,LevEvents_HTZ2_Routine9,
00F05A,LevEvents_HPZ,
00F05C,LevEvents_009,
00F05E,LevEvents_OOZ,
00F066,LevEvents_OOZ2,
00F07C,LevEvents_OOZ2_Routine1,
00F0A8,LevEvents_OOZ2_Routine2,
00F0EC,LevEvents_OOZ2_Routine3,
00F124,LevEvents_OOZ2_Routine4,
00F13E,LevEvents_MCZ,
00F146,LevEvents_MCZ2,
00F15C,LevEvents_MCZ2_Routine1,
00F196,LevEvents_MCZ2_Routine2,
00F206,LevEvents_MCZ2_Routine3,
00F23E,LevEvents_MCZ2_Routine4,
00F26A,LevEvents_CNZ,
00F278,LevEvents_CNZ2,
00F28E,LevEvents_CNZ2_Routine1,
00F2CE,LevEvents_CNZ2_Routine2,
00F318,LevEvents_CNZ2_Routine3,
00F350,LevEvents_CNZ2_Routine4,
00F378,LevEvents_CPZ,
00F380,LevEvents_CPZ2,
00F396,LevEvents_CPZ2_Routine1,
00F3BC,LevEvents_CPZ2_Routine2,
00F3FA,LevEvents_CPZ2_Routine3,
00F432,LevEvents_CPZ2_Routine4,
00F446,LevEvents_DEZ,
00F45E,LevEvents_DEZ_Routine1,
00F490,LevEvents_DEZ_Routine2,
00F492,LevEvents_DEZ_Routine3,
00F4AC,LevEvents_DEZ_Routine4,
00F4CE,LevEvents_DEZ_Routine5,
00F4D0,LevEvents_ARZ,
00F4D8,LevEvents_ARZ2,
00F4EE,LevEvents_ARZ2_Routine1,
00F520,LevEvents_ARZ2_Routine2,
00F55C,LevEvents_ARZ2_Routine3,
00F58A,LevEvents_ARZ2_Routine4,
00F59E,LevEvents_SCZ,
00F5BE,LevEvents_SCZ_Routine1,
00F5D0,LevEvents_SCZ_Routine2,
00F5F0,LevEvents_SCZ_Routine3,
00F60A,LevEvents_SCZ_Routine4,
00F622,LevEvents_SCZ_RoutineNull,
00F624,LevEvents_SCZ2,
00F626,PlayLevelMusic,
00F62E,LoadPLC_AnimalExplosion,
00F66C,Obj11,
00F694,Obj11_Init,
00F728,Obj11_MakeBdgSegment,
00F77A,Obj11_EHZ,
00F7D4,Obj11_Unload,
00F80C,Obj11_Display,
00F810,Obj11_HPZ,
00F9E8,Obj11_Depress,
00FC9C,Obj15,
00FCCA,Obj15_Init,
00FE50,Obj15_State2,
01003A,Obj15_Display,
01003E,Obj15_State4,
0100F8,Obj15_State5,
010100,Obj15_State6,
010166,Obj15_State7,
010310,Obj17,
010324,Obj17_Init,
010372,Obj17_MakeHelix,
0103E8,Obj17_Main,
010404,Obj17_DelAll,
010410,Obj17_DelLoop,
01042A,Obj17_RotateSpike,
01044A,Obj17_Display,
0104AC,Obj18,
0104CE,Obj18_Init,
010668,return_10668,
0108BC,Obj1A,
0108D0,Obj1A_Init,
01097C,Obj1A_Main,
0109B4,Obj1A_Fragment,
0109F8,Obj1A_FragmentFall,
010A08,Obj1F,
010A1C,Obj1F_Init,
010AD6,Obj1F_Main,
010B0E,Obj1F_Fragment,
010B52,Obj1F_FragmentFall,
010B62,Obj1F_CreateFragments,
010B68,Obj1A_CreateFragments,
0111D4,Obj1C,
0112A4,Obj1C_Init,
0112F0,Obj71,
01131A,Obj71_Init,
01135C,Obj71_Main,
