# Auto-generated from s1disasm REV00 listing — do not edit
003C64,DynWater_LZ1,
003CB4,setwater,
003CBA,sonicishigh,
003CD0,routine2,
003CF0,setwater2,
003CF4,skip,
003CF6,DynWater_LZ2,
003D12,setwater,
003D18,DynWater_LZ3,
003D54,setwaterlz3,
003D5E,routine2,
003D8E,sonicislow,
003DA2,setwater2,
003DA8,routine3,
003DC6,loc_3DC6,
003DCC,setwater3,
003DD2,routine4,
003E04,setwater4,
003E0E,routine5,
003E1A,dontset,
003E1C,DynWater_SBZ3,
003E2C,setwater,
003E32,LZWindTunnels,
003E56,notact1,
003E5A,chksonic,
003E90,skipsound,
003EBA,notact2,
003EBE,movesonic,
003EE6,down,
003EF4,chknext,
003F06,clrquit,
003F0A,quit,
003F0C,LZWind_Data,
003F34,LZWaterSlides,
003F62,loc_3F62,
003F6A,loc_3F6A,
003F7A,locret_3F7A,
003F7C,LZSlide_Move,
003F84,loc_3F84,
003F9A,loc_3F9A,
003FBE,locret_3FBE,
003FC0,byte_3FC0,Slide_Speeds
003FC8,Slide_Chunks,
003FD0,MoveSonicInDemo,
003FD8,DemoRecorder,
003FFA,next,
004010,MDemo_On,
004022,dontquit,
004038,notspecial,
004056,notcredits,
004080,DemoDataPtr,
0040A0,DemoEndDataPtr,
0040C0,action,https / Demo_Unused
0040F0,ColIndexLoad,
004100,ColPointers,
004118,_end,OscillateNumInit
004124,loop,
00412C,baselines,
00416E,OscillateNumDo,
004184,loop,
00418C,up,
0041A4,down,
0041BA,next,
0041C6,settings,
004206,SynchroAnimate,Sync1
00421C,Sync2,
004232,Sync3,
004250,Sync4,
004272,SyncEnd,
004274,SignpostArtLoad,
0042AA,exit,
0042AC,Demo_GHZ,
00432C,Demo_MZ,
00445C,Demo_SYZ,
0044DC,Demo_SS,
0045DC,GM_Special,
00463C,wait,
004652,length,
00465C,loop,
004662,length,
00466C,loop,
004672,length,
00467C,loop,
004682,length,
00468C,loop,
004718,SS_NoDebug,
00472A,SS_MainLoop,
004766,SS_ChkEnd,
00478A,SS_Finish,
00479A,SS_FinLoop,
0047D4,loc_47D4,
004846,length,
004850,loop,
00485C,SS_NormalExit,
004894,SS_ToSegaScreen,
00489C,SS_BGLoad,
0048BE,loc_48BE,
0048CC,loc_48CC,
0048CE,loc_48CE,
0048E2,loc_48E2,
0048F2,loc_48F2,
00491C,loc_491C,
004962,PalCycle_SS,
004992,loc_4992,
0049E6,locret_49E6,
0049E8,loc_49E8,
0049F4,loc_49F4,
004A18,loc_4A18,
004A2E,loc_4A2E,
004A3C,SSBGData,byte_4A3C
004ABC,SSFGData,byte_4ABC
004ACA,Pal_SSCyc1,
004B12,Pal_SSCyc2,
004BE4,SS_BGAnimate,
004BF6,loc_4BF6,
004C10,loc_4C10,
004C26,loc_4C26,
004C4E,loc_4C4E,
004C64,loc_4C64,
004C74,loc_4C74,
004C7E,loc_4C7E,
004C9A,loc_4C9A,
004CA4,loc_4CA4,
004CB8,byte_4CB8,
004CC4,byte_4CC4,
004CCC,byte_4CCC,
004CE0,GM_Continue,
004D08,length,
004D12,loop,
004DC4,Cont_MainLoop,
004DF2,loc_4DF2,
004E1E,Cont_GotoLevel,
004E42,ContScrItem,
004E50,CSI_Index,
004E58,CSI_Main,
004E88,CSI_Display,
004E8E,CSI_MiniSonicPos,
004EAC,CSI_MakeMiniSonic,
004EC4,CSI_MoreThan1,
004ED0,CSI_FewerThan16,
004ED6,CSI_MiniSonicLoop,
004EEA,CSI_Even,
004F20,CSI_ChkDel,
004F40,CSI_Animate,
004F50,CSI_Display2,
004F56,CSI_Delete,
004F5C,ContSonic,
004F70,CSon_Index,
004F78,CSon_Main,
004FAE,CSon_ChkLand,
004FD4,CSon_ShowFall,
004FE6,CSon_Animate,
004FF8,CSon_GetUp,
005020,CSon_Run,
005030,CSon_AddInertia,
005036,CSon_ShowRun,
005048,AniScript_CSon,
00504A,A_CSon_1,
005056,Map_ContScr,Map_ContScr_internal / current_mappings_table
005066,M_Cont_text,
00509E,M_Cont_Sonic1,
0050AE,M_Cont_Sonic2,
0050BE,M_Cont_Sonic3,
0050CE,M_Cont_oval,
0050D9,M_Cont_Mini1,
0050DF,M_Cont_Mini2,
0050E6,GM_Ending,
0050F2,length,
0050FC,loop,
005102,length,
00510C,loop,
005112,length,
00511C,loop,
005122,length,
00512C,loop,
00518E,End_LoadData,
0051E6,End_LoadSonic,
005284,End_MainLoop,
0052DA,End_ChkEmerald,
0052F0,End_AllEmlds,
005334,End_SlowFade,
005370,End_MoveSonic,
005390,End_MoveSon2,
0053C8,End_MoveSon3,
0053E0,End_MoveSonExit,
0053E2,EndSonic,
0053F6,ESon_Index,
00540A,ESon_Main,
005420,ESon_Main2,
00544E,ESon_MakeEmeralds,
005464,ESon_Wait,
005466,Obj87_LookUp,
005480,locret_5480,
005482,Obj87_ClrObjRam,
005490,Obj87_ClrLoop,
0054AC,ESon_Wait2,
0054AE,Obj87_MakeLogo,
0054CA,ESon_Wait3,
0054CC,Obj87_Animate,
0054D8,Obj87_Leap,
005514,ESon_Wait4,
005516,AniScript_ESon,
00551C,byte_551C,
00552A,byte_552A,
005534,byte_5534,
00553C,EndChaos,
005550,ECha_Index,
005554,ECha_Main,
005560,ECha_CreateEms,
005574,ECha_LoadLoop,
0055BC,ECha_Move,
0055EC,ECha_Expand,
0055FA,ECha_Rotate,
005608,ECha_Rise,
005614,ECha_End,
005616,EndSTH,
005624,ESth_Index,
00562A,ESth_Main,
005654,ESth_Move,
005666,ESth_Delay,
005670,ESth_GotoCredits,
00567C,ESth_Wait,
005680,Map_ESon,Map_ESon_internal / current_mappings_table
005690,M_ESon_Hold1,
00569B,M_ESon_Hold2,
0056AB,M_ESon_Up,
0056B6,M_ESon_Conf1,
0056C1,M_ESon_Conf2,
0056CC,M_ESon_Leap1,
0056DC,M_ESon_Leap2,
005700,M_ESon_Leap3,
00577A,Map_ECha,Map_ECha_internal / current_mappings_table
005788,M_ECha_1,
00578E,M_ECha_2,
005794,M_ECha_3,
00579A,M_ECha_4,
0057A0,M_ECha_5,
0057A6,M_ECha_6,
0057AC,M_ECha_7,
0057B2,Map_ESth,Map_ESth_internal / current_mappings_table
0057B4,M_ESth_1,
0057C4,GM_Credits,
0057F6,length,
005800,loop,
00581A,length,
005824,loop,
005862,Cred_SkipObjGfx,
005872,Cred_WaitLoop,
005898,EndingDemoLoad,
0058F0,EndDemo_LampLoad,
0058F6,EndDemo_Exit,
0058F8,EndDemo_Levels,
005908,EndDemo_LampVar,
00592C,EndDemo_LampVar_End,TryAgainEnd
00595E,length,
005968,loop,
005974,length,
00597E,loop,
0059AA,TryAg_MainLoop,
0059DA,TryAg_Exit,
0059E2,EndEggman,
0059F6,EEgg_Index,
0059FE,EEgg_Main,
005A4E,EEgg_Animate,
005A5A,EEgg_Juggle,
005A6A,noflip,
005A70,emeraldloop,
005A8E,EEgg_Wait,
005AA0,nochg,
005AA2,Ani_EEgg,
005AA8,tryagain1,
005AAC,tryagain2,
005AC2,TryChaos,
005AD6,TCha_Index,
005ADA,TCha_Main,
005AE6,makeemerald,
005B2A,chkemerald,
005B34,chkloop,
005B3E,notgot,
005B42,loc_5B42,
005B66,TCha_Move,
005B78,loc_5B78,
005B80,loc_5B80,
005B8C,loc_5B8C,
005B96,loc_5B96,
005BBA,locret_5BBA,
005BBC,Map_EEgg,Map_EEgg_internal / current_mappings_table
005BCC,M_EEgg_Try1,
005BF5,M_EEgg_Try2,
005C1E,M_EEgg_Try3,
005C47,M_EEgg_Try4,
005C70,M_EEgg_End1,
005CAD,M_EEgg_End2,
005CE0,M_EEgg_End3,
005D13,M_EEgg_End4,
005D50,Demo_EndGHZ1,
005D7E,Demo_EndMZ,
005DBE,Demo_EndSYZ,
005DEE,Demo_EndLZ,
005E1E,Demo_EndSLZ,
005E3E,Demo_EndSBZ1,
005E5E,Demo_EndSBZ2,
005E8E,Demo_EndGHZ2,
005EBE,LevelSizeLoad,
005F1C,LevelSizeArray,
00603C,_end,
00606C,EndingStLocArray,
00608C,LevSz_ChkLamp,
0060A2,LevSz_StartLoc,
0060C0,LevSz_SonicPos,
0060D0,SetScreen,LevSz_SkipStartPos
0060D8,SetScr_WithinLeft,
0060E2,SetScr_WithinRight,
0060EE,SetScr_WithinTop,
0060F8,SetScr_WithinBottom,
006112,StartLocArray,
006172,_end,
006182,LoopTileNums,
00619A,_end,
00619E,LevSz_Unk,LevSz_LoadScrollBlockSize
0061B4,dword_61B4,BGScrollBlockSizes
0061E4,_end,
